"slug","title_en","title_ar","template_code","category_code","specialty","public_path","source_file","patient_copy","mapping_status"
"abdominal-aortic-aneurysm","Abdominal Aortic Aneurysm","","imc-approved-abdominal-aortic-aneurysm","","","/approved-consent-forms/abdominal-aortic-aneurysm.pdf","Abdominal Aortic Aneurysm.pdf","False","NEEDS_REVIEW"
"abdominal-aortic-aneurysm","Abdominal Aortic Aneurysm","","imc-approved-abdominal-aortic-aneurysm","","","/approved-consent-forms-patient-copy/abdominal-aortic-aneurysm-patient-copy.pdf","Abdominal Aortic Aneurysm - Patient Copy.pdf","True","NEEDS_REVIEW"
"abdominoperineal-resection-of-rectum","Abdominoperineal Resection of Rectum","","imc-approved-abdominoperineal-resection-of-rectum","","","/approved-consent-forms/abdominoperineal-resection-of-rectum.pdf","Abdominoperineal Resection of Rectum.pdf","False","NEEDS_REVIEW"
"abdominoperineal-resection-of-rectum","Abdominoperineal Resection of Rectum","","imc-approved-abdominoperineal-resection-of-rectum","","","/approved-consent-forms-patient-copy/abdominoperineal-resection-of-rectum-patient-copy.pdf","Abdominoperineal Resection of Rectum - Patient Copy.pdf","True","NEEDS_REVIEW"
"abdominoplasty","Abdominoplasty","","imc-approved-abdominoplasty","","","/approved-consent-forms/abdominoplasty.pdf","Abdominoplasty.pdf","False","NEEDS_REVIEW"
"abdominoplasty","Abdominoplasty","","imc-approved-abdominoplasty","","","/approved-consent-forms-patient-copy/abdominoplasty-patient-copy.pdf","Abdominoplasty - Patient Copy.pdf","True","NEEDS_REVIEW"
"adenotonsillectomy","Adenotonsillectomy","","imc-approved-adenotonsillectomy","","","/approved-consent-forms/adenotonsillectomy.pdf","Adenotonsillectomy.pdf","False","NEEDS_REVIEW"
"adenotonsillectomy","Adenotonsillectomy","","imc-approved-adenotonsillectomy","","","/approved-consent-forms-patient-copy/adenotonsillectomy-patient-copy.pdf","Adenotonsillectomy - Patient Copy.pdf","True","NEEDS_REVIEW"
"allergen-immunotherapy","Allergen Immunotherapy","","imc-approved-allergen-immunotherapy","","","/approved-consent-forms/allergen-immunotherapy.pdf","Allergen Immunotherapy.pdf","False","NEEDS_REVIEW"
"allergy-skin-test-consent-and-informed","Allergy Skin Test consent and informed","","imc-approved-allergy-skin-test-consent-and-informed","","","/approved-consent-forms/allergy-skin-test-consent-and-informed.pdf","Allergy Skin Test consent and informed.pdf","False","NEEDS_REVIEW"
"amniocentesis-chorionic-villus-sampling","Amniocentesis Chorionic Villus Sampling","","imc-approved-amniocentesis-chorionic-villus-sampling","","","/approved-consent-forms-patient-copy/amniocentesis-chorionic-villus-sampling-patient-copy.pdf","Amniocentesis Chorionic Villus Sampling - Patient  Copy.pdf","True","NEEDS_REVIEW"
"amputation","Amputation","","imc-approved-amputation","","","/approved-consent-forms/amputation.pdf","Amputation.pdf","False","NEEDS_REVIEW"
"amputation","Amputation","","imc-approved-amputation","","","/approved-consent-forms-patient-copy/amputation-patient-copy.pdf","Amputation - Patient Copy.pdf","True","NEEDS_REVIEW"
"anesthesia-patient-consent","Anesthesia - Patient Consent","","imc-approved-anesthesia-patient-consent","","","/approved-consent-forms/anesthesia-patient-consent.pdf","Anesthesia - Patient Consent.pdf","False","NEEDS_REVIEW"
"angiogram-and-plasty-stenting","Angiogram and Plasty Stenting","","imc-approved-angiogram-and-plasty-stenting","","","/approved-consent-forms/angiogram-and-plasty-stenting.pdf","Angiogram and Plasty Stenting.pdf","False","NEEDS_REVIEW"
"angiogram-and-plasty-stenting","Angiogram and Plasty Stenting","","imc-approved-angiogram-and-plasty-stenting","","","/approved-consent-forms-patient-copy/angiogram-and-plasty-stenting-patient-copy.pdf","Angiogram and Plasty Stenting - Patient Copy.pdf","True","NEEDS_REVIEW"
"angiogram-with-mechanical-thrombectomy-any-body-part","Angiogram with mechanical Thrombectomy (any body part)","","imc-approved-angiogram-with-mechanical-thrombectomy-any-body-part","","","/approved-consent-forms/angiogram-with-mechanical-thrombectomy-any-body-part.pdf","Angiogram with mechanical Thrombectomy (any body part).pdf","False","NEEDS_REVIEW"
"appendicectomy-open","Appendicectomy - Open","","imc-approved-appendicectomy-open","","","/approved-consent-forms/appendicectomy-open.pdf","Appendicectomy - Open.pdf","False","NEEDS_REVIEW"
"appendicectomy-open","Appendicectomy - Open","","imc-approved-appendicectomy-open","","","/approved-consent-forms-patient-copy/appendicectomy-open-patient-copy.pdf","Appendicectomy - Open - Patient Copy.pdf","True","NEEDS_REVIEW"
"arteriovenous-fistula","Arteriovenous Fistula","","imc-approved-arteriovenous-fistula","","","/approved-consent-forms/arteriovenous-fistula.pdf","Arteriovenous Fistula.pdf","False","NEEDS_REVIEW"
"arteriovenous-goretex-loop-graft","Arteriovenous Goretex Loop Graft","","imc-approved-arteriovenous-goretex-loop-graft","","","/approved-consent-forms/arteriovenous-goretex-loop-graft.pdf","Arteriovenous Goretex Loop Graft.pdf","False","NEEDS_REVIEW"
"arthrogram","Arthrogram","","imc-approved-arthrogram","","","/approved-consent-forms/arthrogram.pdf","Arthrogram.pdf","False","NEEDS_REVIEW"
"arthrogram","Arthrogram","","imc-approved-arthrogram","","","/approved-consent-forms-patient-copy/arthrogram-patient-copy.pdf","Arthrogram - Patient Copy.pdf","True","NEEDS_REVIEW"
"arthroplasty-consent","Arthroplasty Consent","","imc-approved-arthroplasty-consent","","","/approved-consent-forms/arthroplasty-consent.pdf","Arthroplasty Consent.pdf","False","NEEDS_REVIEW"
"aspiration-drainage-under-imaging","Aspiration Drainage Under Imaging","","imc-approved-aspiration-drainage-under-imaging","","","/approved-consent-forms/aspiration-drainage-under-imaging.pdf","Aspiration Drainage Under Imaging.pdf","False","NEEDS_REVIEW"
"aspiration-drainage-under-imaging","Aspiration Drainage under Imaging","","imc-approved-aspiration-drainage-under-imaging","","","/approved-consent-forms-patient-copy/aspiration-drainage-under-imaging-patient-copy.pdf","Aspiration Drainage under Imaging - Patient Copy.pdf","True","NEEDS_REVIEW"
"bartholin-s-glands","Bartholin's Glands","","imc-approved-bartholin-s-glands","","","/approved-consent-forms/bartholin-s-glands.pdf","Bartholin's Glands.pdf","False","NEEDS_REVIEW"
"biopsy-under-imaging","Biopsy Under Imaging","","imc-approved-biopsy-under-imaging","","","/approved-consent-forms/biopsy-under-imaging.pdf","Biopsy Under Imaging.pdf","False","NEEDS_REVIEW"
"biopsy-under-imaging","Biopsy Under Imaging","","imc-approved-biopsy-under-imaging","","","/approved-consent-forms-patient-copy/biopsy-under-imaging-patient-copy.pdf","Biopsy Under Imaging - Patient Copy.pdf","True","NEEDS_REVIEW"
"blepharoplasty","Blepharoplasty","","imc-approved-blepharoplasty","","","/approved-consent-forms/blepharoplasty.pdf","Blepharoplasty.pdf","False","NEEDS_REVIEW"
